Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Methven Cws,36645,H31665,-43.63978,171.65205,313,H,Niwa
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,
,,,,,,,
Earth Temp: 10cm,,,,,,,
Station,Date(NZST),Tearth(C),Depth(cm),,,,
36645,20090116:0200,20.6,10,,,,
36645,20090116:0300,20.3,10,,,,
36645,20090116:0400,20,10,,,,
36645,20090116:0500,19.7,10,,,,
36645,20090116:0600,19.5,10,,,,
36645,20090116:0700,19.3,10,,,,
36645,20090116:0800,19.1,10,,,,
36645,20090116:0900,19,10,,,,
36645,20090116:1000,19,10,,,,
36645,20090116:1100,19.3,10,,,,
36645,20090116:1200,19.7,10,,,,
36645,20090116:1300,20.3,10,,,,
36645,20090116:1400,21,10,,,,
36645,20090116:1500,21.8,10,,,,
36645,20090116:1600,22.4,10,,,,
36645,20090116:1700,22.6,10,,,,
36645,20090116:1800,22.7,10,,,,
36645,20090116:1900,22.7,10,,,,
36645,20090116:2000,22.5,10,,,,
36645,20090116:2100,22.4,10,,,,
36645,20090116:2200,22.1,10,,,,
36645,20090116:2300,21.8,10,,,,
36645,20090117:0000,21.6,10,,,,
36645,20090117:0100,21.2,10,,,,
36645,20090117:0200,20.9,10,,,,
36645,20090117:0300,20.6,10,,,,
36645,20090117:0400,20.4,10,,,,
36645,20090117:0500,20.2,10,,,,
36645,20090117:0600,20,10,,,,
36645,20090117:0700,19.8,10,,,,
36645,20090117:0800,19.6,10,,,,
36645,20090117:0900,19.5,10,,,,
36645,20090117:1000,19.5,10,,,,
36645,20090117:1100,19.7,10,,,,
36645,20090117:1200,20,10,,,,
36645,20090117:1300,20.3,10,,,,
36645,20090117:1400,20.7,10,,,,
36645,20090117:1500,21.2,10,,,,
36645,20090117:1600,21.6,10,,,,
36645,20090117:1700,21.8,10,,,,
36645,20090117:1800,21.9,10,,,,
36645,20090117:1900,21.9,10,,,,
36645,20090117:2000,21.8,10,,,,
36645,20090117:2100,21.6,10,,,,
36645,20090117:2200,21.4,10,,,,
36645,20090117:2300,21,10,,,,
36645,20090118:0000,20.7,10,,,,
36645,20090118:0100,20.3,10,,,,
36645,20090118:0200,20,10,,,,
36645,20090118:0300,19.6,10,,,,
36645,20090118:0400,19.3,10,,,,
36645,20090118:0500,19,10,,,,
36645,20090118:0600,18.8,10,,,,
36645,20090118:0700,18.6,10,,,,
36645,20090118:0800,18.4,10,,,,
36645,20090118:0900,18.3,10,,,,
36645,20090118:1000,18.4,10,,,,
36645,20090118:1100,18.7,10,,,,
36645,20090118:1200,19.1,10,,,,
36645,20090118:1300,19.5,10,,,,
36645,20090118:1400,19.8,10,,,,
36645,20090118:1500,20.1,10,,,,
36645,20090118:1600,20.5,10,,,,
36645,20090118:1700,20.9,10,,,,
36645,20090118:1800,21.1,10,,,,
36645,20090118:1900,20.9,10,,,,
36645,20090118:2000,20.7,10,,,,
36645,20090118:2100,20.4,10,,,,
36645,20090118:2200,20.1,10,,,,
36645,20090118:2300,19.8,10,,,,
36645,20090119:0000,19.4,10,,,,
36645,20090119:0100,19.1,10,,,,
36645,20090119:0200,18.8,10,,,,
36645,20090119:0300,18.6,10,,,,
36645,20090119:0400,18.4,10,,,,
36645,20090119:0500,18.2,10,,,,
36645,20090119:0600,17.9,10,,,,
36645,20090119:0700,17.8,10,,,,
36645,20090119:0800,17.6,10,,,,
36645,20090119:0900,17.4,10,,,,
36645,20090119:1000,17.5,10,,,,
36645,20090119:1100,17.8,10,,,,
36645,20090119:1200,18.2,10,,,,
36645,20090119:1300,18.8,10,,,,
36645,20090119:1400,19.4,10,,,,
36645,20090119:1500,19.9,10,,,,
36645,20090119:1600,20.4,10,,,,
36645,20090119:1700,20.9,10,,,,
36645,20090119:1800,21.2,10,,,,
36645,20090119:1900,21.4,10,,,,
36645,20090119:2000,21.3,10,,,,
36645,20090119:2100,21,10,,,,
36645,20090119:2200,20.8,10,,,,
36645,20090119:2300,20.4,10,,,,
36645,20090120:0000,20.1,10,,,,
36645,20090120:0100,19.8,10,,,,
36645,20090120:0200,19.4,10,,,,
36645,20090120:0300,18.8,10,,,,
36645,20090120:0400,18.4,10,,,,
36645,20090120:0500,18.2,10,,,,
36645,20090120:0600,18.1,10,,,,
36645,20090120:0700,17.9,10,,,,
36645,20090120:0800,17.7,10,,,,
36645,20090120:0900,17.6,10,,,,
36645,20090120:1000,17.5,10,,,,
36645,20090120:1100,17.5,10,,,,
36645,20090120:1200,17.6,10,,,,
36645,20090120:1300,17.7,10,,,,
36645,20090120:1400,17.9,10,,,,
36645,20090120:1500,18.2,10,,,,
36645,20090120:1600,18.4,10,,,,
36645,20090120:1700,18.6,10,,,,
36645,20090120:1800,19,10,,,,
36645,20090120:1900,19.2,10,,,,
36645,20090120:2000,19.2,10,,,,
36645,20090120:2100,19.1,10,,,,
36645,20090120:2200,18.9,10,,,,
36645,20090120:2300,18.7,10,,,,
36645,20090121:0000,18.4,10,,,,
36645,20090121:0100,18.1,10,,,,
36645,20090121:0200,17.8,10,,,,
36645,20090121:0300,17.4,10,,,,
36645,20090121:0400,17.1,10,,,,
36645,20090121:0500,16.8,10,,,,
36645,20090121:0600,16.4,10,,,,
36645,20090121:0700,16.1,10,,,,
36645,20090121:0800,15.8,10,,,,
36645,20090121:0900,15.8,10,,,,
36645,20090121:1000,15.9,10,,,,
36645,20090121:1100,16.2,10,,,,
36645,20090121:1200,16.7,10,,,,
36645,20090121:1300,17.4,10,,,,
36645,20090121:1400,18.1,10,,,,
36645,20090121:1500,19,10,,,,
36645,20090121:1600,19.8,10,,,,
36645,20090121:1700,20.4,10,,,,
36645,20090121:1800,20.7,10,,,,
36645,20090121:1900,20.9,10,,,,
36645,20090121:2000,20.8,10,,,,
36645,20090121:2100,20.7,10,,,,
36645,20090121:2200,20.4,10,,,,
36645,20090121:2300,20.2,10,,,,
36645,20090122:0000,19.9,10,,,,
36645,20090122:0100,19.6,10,,,,
36645,20090122:0200,19.4,10,,,,
36645,20090122:0300,19.2,10,,,,
36645,20090122:0400,19,10,,,,
36645,20090122:0500,18.8,10,,,,
36645,20090122:0600,18.6,10,,,,
36645,20090122:0700,18.5,10,,,,
36645,20090122:0800,18.4,10,,,,
36645,20090122:0900,18.2,10,,,,
36645,20090122:1000,18.2,10,,,,
36645,20090122:1100,18.3,10,,,,
36645,20090122:1200,18.6,10,,,,
36645,20090122:1300,19.3,10,,,,
36645,20090122:1400,20.1,10,,,,
36645,20090122:1500,21,10,,,,
36645,20090122:1600,21.9,10,,,,
36645,20090122:1700,22.6,10,,,,
36645,20090122:1800,23,10,,,,
36645,20090122:1900,23.1,10,,,,
36645,20090122:2000,23.1,10,,,,
36645,20090122:2100,22.9,10,,,,
36645,20090122:2200,22.6,10,,,,
36645,20090122:2300,22.2,10,,,,
36645,20090123:0000,21.8,10,,,,
36645,20090123:0100,21.4,10,,,,
36645,20090123:0200,21.1,10,,,,
36645,20090123:0300,20.7,10,,,,
36645,20090123:0400,20.4,10,,,,
36645,20090123:0500,20.1,10,,,,
36645,20090123:0600,19.7,10,,,,
36645,20090123:0700,19.4,10,,,,
36645,20090123:0800,19,10,,,,
36645,20090123:0900,18.9,10,,,,
36645,20090123:1000,19,10,,,,
36645,20090123:1100,19.3,10,,,,
36645,20090123:1200,19.8,10,,,,
36645,20090123:1300,20.5,10,,,,
36645,20090123:1400,21.2,10,,,,
36645,20090123:1500,21.9,10,,,,
36645,20090123:1600,22.5,10,,,,
36645,20090123:1700,23,10,,,,
36645,20090123:1800,23.3,10,,,,
36645,20090123:1900,23.5,10,,,,
36645,20090123:2000,23.4,10,,,,
36645,20090123:2100,23.2,10,,,,
36645,20090123:2200,22.9,10,,,,
36645,20090123:2300,22.5,10,,,,
36645,20090124:0000,22.2,10,,,,
36645,20090124:0100,21.8,10,,,,
36645,20090124:0200,21.4,10,,,,
36645,20090124:0300,21.1,10,,,,
36645,20090124:0400,20.8,10,,,,
36645,20090124:0500,20.5,10,,,,
36645,20090124:0600,20.2,10,,,,
36645,20090124:0700,20,10,,,,
36645,20090124:0800,19.8,10,,,,
36645,20090124:0900,19.6,10,,,,
36645,20090124:1000,19.6,10,,,,
36645,20090124:1100,19.8,10,,,,
36645,20090124:1200,20.2,10,,,,
36645,20090124:1300,20.9,10,,,,
36645,20090124:1400,21.7,10,,,,
36645,20090124:1500,22.5,10,,,,
36645,20090124:1600,23.2,10,,,,
36645,20090124:1700,23.8,10,,,,
36645,20090124:1800,24.2,10,,,,
36645,20090124:1900,24.3,10,,,,
36645,20090124:2000,24.3,10,,,,
36645,20090124:2100,24.1,10,,,,
36645,20090124:2200,23.8,10,,,,
36645,20090124:2300,23.4,10,,,,
36645,20090125:0000,23,10,,,,
36645,20090125:0100,22.6,10,,,,
36645,20090125:0200,22.3,10,,,,
36645,20090125:0300,22,10,,,,
36645,20090125:0400,21.7,10,,,,
36645,20090125:0500,21.4,10,,,,
36645,20090125:0600,21.1,10,,,,
36645,20090125:0700,20.8,10,,,,
36645,20090125:0800,20.5,10,,,,
36645,20090125:0900,20.4,10,,,,
36645,20090125:1000,20.4,10,,,,
36645,20090125:1100,20.7,10,,,,
36645,20090125:1200,21.2,10,,,,
36645,20090125:1300,21.8,10,,,,
36645,20090125:1400,22.6,10,,,,
36645,20090125:1500,23.1,10,,,,
36645,20090125:1600,23.4,10,,,,
36645,20090125:1700,23.7,10,,,,
36645,20090125:1800,23.8,10,,,,
36645,20090125:1900,23.8,10,,,,
36645,20090125:2000,23.8,10,,,,
36645,20090125:2100,23.7,10,,,,
36645,20090125:2200,23.4,10,,,,
36645,20090125:2300,23,10,,,,
36645,20090126:0000,22.6,10,,,,
36645,20090126:0100,22.2,10,,,,
36645,20090126:0200,21.8,10,,,,
36645,20090126:0300,21.4,10,,,,
36645,20090126:0400,21,10,,,,
36645,20090126:0500,20.8,10,,,,
36645,20090126:0600,20.4,10,,,,
36645,20090126:0700,20.2,10,,,,
36645,20090126:0800,19.9,10,,,,
36645,20090126:0900,19.7,10,,,,
36645,20090126:1000,19.8,10,,,,
36645,20090126:1100,20.1,10,,,,
36645,20090126:1200,20.6,10,,,,
36645,20090126:1300,21.2,10,,,,
36645,20090126:1400,21.9,10,,,,
36645,20090126:1500,22.6,10,,,,
36645,20090126:1600,23.2,10,,,,
36645,20090126:1700,23.8,10,,,,
36645,20090126:1800,24.1,10,,,,
36645,20090126:1900,24.3,10,,,,
36645,20090126:2000,24.3,10,,,,
36645,20090126:2100,24.1,10,,,,
36645,20090126:2200,23.8,10,,,,
36645,20090126:2300,23.4,10,,,,
36645,20090127:0000,23,10,,,,
36645,20090127:0100,22.6,10,,,,
36645,20090127:0200,22.2,10,,,,
36645,20090127:0300,22,10,,,,
36645,20090127:0400,21.7,10,,,,
36645,20090127:0500,21.5,10,,,,
36645,20090127:0600,21.3,10,,,,
36645,20090127:0700,21.1,10,,,,
36645,20090127:0800,20.9,10,,,,
36645,20090127:0900,20.7,10,,,,
36645,20090127:1000,19.7,10,,,,
36645,20090127:1100,18.1,10,,,,
36645,20090127:1200,18.5,10,,,,
36645,20090127:1300,18.8,10,,,,
36645,20090127:1400,18.9,10,,,,
36645,20090127:1500,19,10,,,,
36645,20090127:1600,19,10,,,,
36645,20090127:1700,19,10,,,,
36645,20090127:1800,19,10,,,,
36645,20090127:1900,18.9,10,,,,
36645,20090127:2000,18.8,10,,,,
36645,20090127:2100,18.7,10,,,,
36645,20090127:2200,18.6,10,,,,
36645,20090127:2300,18.4,10,,,,
36645,20090128:0000,18.2,10,,,,
36645,20090128:0100,18,10,,,,
36645,20090128:0200,17.8,10,,,,
36645,20090128:0300,17.7,10,,,,
36645,20090128:0400,17.5,10,,,,
36645,20090128:0500,17.4,10,,,,
36645,20090128:0600,17.2,10,,,,
36645,20090128:0700,17.1,10,,,,
36645,20090128:0800,16.9,10,,,,
36645,20090128:0900,16.8,10,,,,
36645,20090128:1000,16.8,10,,,,
36645,20090128:1100,17,10,,,,
36645,20090128:1200,17.3,10,,,,
36645,20090128:1300,17.8,10,,,,
36645,20090128:1400,18.4,10,,,,
36645,20090128:1500,19,10,,,,
36645,20090128:1600,19.6,10,,,,
